Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area
Male,Yes,0,Graduate,,363400,0,8700000,360,1,Urban
Male,Yes,0,Not Graduate,Yes,307100,164600,13400000,360,1,Rural
Male,No,1,Not Graduate,No,449000,0,11000000,360,1,Rural
Male,No,0,Graduate,No,374700,0,12500000,360,,Rural
Male,Yes,2,Not Graduate,No,318900,0,10000000,360,1,Rural
Female,Yes,3+,Graduate,No,164700,0,13700000,360,1,Rural
Male,No,1,Graduate,,343600,0,10100000,180,1,Rural
Male,Yes,0,Graduate,Yes,275000,402700,15200000,360,,Urban
Female,No,2,Not Graduate,No,364400,0,10000000,360,0,Urban
Male,Yes,0,Graduate,Yes,1089000,0,15000000,360,0,Semiurban
Male,Yes,3+,Graduate,No,583300,0,22500000,360,1,Urban
Male,Yes,0,Not Graduate,No,433300,172100,20000000,360,1,Urban
Female,No,2,Not Graduate,No,341700,0,9200000,360,1,Urban
Male,No,0,Graduate,Yes,446300,0,18600000,360,,Rural
Male,No,1,Graduate,No,1016600,156000,0,360,,Rural
Male,Yes,3+,Graduate,No,451300,0,12200000,360,1,Semiurban
Male,Yes,0,Graduate,No,344500,0,21400000,360,1,Semiurban
Male,No,0,Graduate,No,226900,0,11400000,360,1,Urban
Male,Yes,3+,Graduate,Yes,433300,0,14900000,360,1,Urban
Male,Yes,0,Graduate,No,176200,390000,29700000,180,0,Rural
Male,No,3+,Graduate,No,682500,405300,15000000,360,1,Rural
Male,Yes,2,Graduate,,222600,0,9400000,240,1,Urban
Male,Yes,1,Not Graduate,Yes,203800,0,14600000,360,1,Urban
Male,Yes,3+,Graduate,No,246300,0,12500000,360,1,Semiurban
Female,No,0,Graduate,No,1294100,0,10600000,360,0,Rural
Male,Yes,0,Graduate,No,750000,0,17600000,360,1,Rural
Female,No,2,Graduate,No,1000000,0,23500000,360,1,Urban
Male,No,0,Graduate,No,433300,0,12000000,360,1,Rural
Male,Yes,1,Graduate,Yes,378600,256500,11900000,360,1,Rural
Male,No,0,Graduate,,390900,0,10600000,360,1,Urban
Male,Yes,0,Graduate,Yes,384400,357500,18700000,300,1,Urban
Male,Yes,0,Graduate,No,1498700,0,16600000,360,1,Semiurban
Male,Yes,0,Graduate,No,682500,25000,14600000,360,1,Rural
Male,Yes,1,Graduate,No,250000,0,14700000,480,1,Rural
Male,No,2,Graduate,No,685800,0,11000000,360,,Rural
Female,Yes,2,Graduate,No,433300,0,15000000,360,1,Semiurban
Male,No,0,Graduate,No,285500,0,15000000,360,1,Urban
Male,No,,Graduate,No,385400,0,11300000,360,1,Rural
Male,Yes,0,Graduate,No,261300,438000,7500000,360,0,Urban
Female,No,0,Graduate,No,531400,0,16500000,360,0,Semiurban
Male,Yes,0,Graduate,No,833300,0,6000000,300,1,Rural
