Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area
Male,Yes,0,Graduate,No,363400,0,8700000,360,1,Urban
Male,Yes,0,Not Graduate,No,307100,164600,13400000,360,1,Rural
Male,No,1,Not Graduate,No,449000,0,11000000,360,1,Rural
Male,Yes,0,Graduate,No,479600,0,12500000,360,1,Rural
Male,Yes,2,Not Graduate,No,318900,0,18000000,360,1,Rural
Female,Yes,0,Graduate,No,164700,0,8400000,360,1,Rural
Male,No,0,Graduate,,583300,0,10100000,180,1,Rural
Male,Yes,0,Graduate,No,236200,402700,15200000,360,0,Urban
Female,No,2,Not Graduate,No,364400,0,10000000,360,0,Urban
Male,No,0,Graduate,Yes,1089000,0,15000000,360,1,Semiurban
Male,No,3+,Graduate,No,583300,0,22500000,360,1,Urban
Male,Yes,0,Not Graduate,Yes,234000,172100,6600000,360,1,Urban
Male,No,3+,Not Graduate,No,650000,0,9200000,360,1,Semiurban
Male,No,0,Graduate,No,446300,0,18600000,360,,Rural
Male,Yes,1,Graduate,No,1016600,156000,10400000,360,,Rural
Male,Yes,3+,Graduate,No,451300,0,12300000,360,1,Semiurban
Male,Yes,0,Graduate,No,344500,0,9500000,360,1,Rural
Male,No,0,Graduate,No,226900,0,11400000,360,1,Urban
Male,Yes,3+,Graduate,Yes,433300,0,14900000,360,1,Urban
Male,Yes,0,Graduate,No,176200,390000,29700000,360,0,Rural
Male,No,3+,Graduate,No,682500,0,28000000,360,1,Urban
Male,Yes,2,Graduate,,222600,0,39000000,240,1,Urban
Male,Yes,0,Not Graduate,Yes,203800,0,15000000,360,1,Urban
Male,Yes,3+,Graduate,No,246300,0,12500000,360,1,Semiurban
Female,No,0,Graduate,No,1294100,0,10600000,360,0,Rural
Male,Yes,0,Graduate,No,750000,0,14700000,360,1,Rural
Female,No,2,Graduate,No,1000000,0,23500000,360,1,Rural
Male,No,0,Graduate,No,433300,0,12000000,360,1,Semiurban
Male,Yes,1,Graduate,Yes,378600,256500,11900000,360,1,Rural
Male,No,0,Graduate,,210700,0,10600000,360,1,Urban
Male,Yes,1,Graduate,No,384400,357500,18700000,300,1,Urban
Male,Yes,0,Graduate,No,159600,0,2800000,360,1,Semiurban
Male,Yes,0,Graduate,No,682500,0,12000000,360,1,Rural
Male,Yes,1,Graduate,No,250000,0,14700000,480,1,Rural
Female,No,0,Graduate,No,685800,0,11000000,360,,Rural
Male,Yes,2,Graduate,No,433300,0,15000000,360,0,Semiurban
Male,No,0,Graduate,No,285500,0,15000000,360,1,Urban
Male,No,,Graduate,No,385400,0,11300000,360,1,Rural
Male,Yes,0,Graduate,No,695800,0,7500000,360,1,Urban
Female,Yes,0,Graduate,No,531400,0,18400000,360,1,Semiurban
Male,Yes,0,Graduate,No,833300,223300,6000000,360,1,Rural
Male,No,2,Not Graduate,No,496000,0,10000000,360,1,Semiurban
Male,Yes,1,Not Graduate,No,197200,0,14600000,360,1,Rural
Female,Yes,0,Graduate,No,533300,0,18700000,360,,Semiurban
Male,No,0,Not Graduate,No,695800,0,7400000,360,0,Semiurban
Male,No,0,Graduate,,222600,521100,11300000,360,1,Semiurban
Male,Yes,3+,Graduate,No,226700,254600,21300000,360,1,Rural
Female,Yes,1,Graduate,No,750000,233300,11000000,360,1,Semiurban
Female,No,2,Graduate,No,361300,0,14700000,300,1,Urban
Male,Yes,0,Graduate,No,566700,54200,10400000,360,0,Urban
Female,No,3+,Graduate,No,679200,25000,19200000,360,1,Semiurban
Male,Yes,1,Graduate,No,475000,0,11000000,360,1,Rural
Female,Yes,1,Graduate,No,383500,0,14800000,360,1,Urban
Male,Yes,3+,Graduate,No,341700,176800,11000000,360,,Urban
Female,Yes,0,Not Graduate,No,402800,0,10400000,360,,Urban
Male,No,1,Graduate,Yes,333300,155000,16000000,360,,Rural
Female,Yes,0,Graduate,Yes,350000,0,17000000,360,1,Urban
Male,No,,Graduate,No,518000,70000,4900000,360,1,Urban
Male,No,0,Graduate,No,401000,0,7100000,360,1,Semiurban
Male,Yes,1,Graduate,No,304200,247400,11600000,360,0,Rural
Male,No,0,Graduate,No,236200,0,10000000,360,1,Semiurban
Male,Yes,1,Not Graduate,,760300,0,29000000,360,1,Rural
Male,No,1,Graduate,No,356400,201700,14700000,180,1,Semiurban
Male,Yes,0,Graduate,No,352200,0,10000000,360,1,Urban
Male,Yes,2,Not Graduate,No,1089000,0,18700000,360,,Urban
Male,Yes,0,Not Graduate,Yes,301600,0,15800000,360,1,Semiurban
Male,Yes,0,Graduate,,364400,307700,13500000,12,0,Urban
Female,No,0,Graduate,No,470000,521100,15200000,350,1,Semiurban
Male,No,2,Graduate,No,227400,201700,30000000,360,1,Urban
Male,Yes,0,Graduate,No,682500,1450700,10700000,360,1,Rural
Male,Yes,2,Graduate,No,500000,0,18700000,360,1,Rural
Male,Yes,1,Graduate,No,408300,0,16000000,360,1,Urban
Male,No,2,Graduate,No,350000,0,23200000,360,1,Semiurban
Male,Yes,0,Not Graduate,No,307300,0,10500000,360,0,Semiurban
Male,No,0,Graduate,No,236200,0,10400000,360,1,Urban
Male,Yes,3+,Graduate,No,164700,266600,10200000,360,1,Semiurban
,Yes,3+,Graduate,No,343600,335500,10600000,360,0,Urban
Male,No,0,Graduate,No,224300,176200,15000000,360,1,Urban
Male,Yes,0,Graduate,No,531600,0,3000000,360,1,Semiurban
Male,No,1,Graduate,No,247800,145600,7400000,360,,Semiurban
Male,No,,Graduate,No,395800,298800,16000000,360,1,Urban
Male,No,0,Not Graduate,No,270800,0,8000000,360,0,Rural
Male,Yes,1,Not Graduate,No,241500,0,9000000,360,1,Urban
Male,Yes,0,Not Graduate,No,533300,0,16200000,360,1,Rural
Male,No,0,Graduate,No,356400,294500,9000000,360,0,Semiurban
Male,Yes,0,Graduate,Yes,475000,205700,11800000,360,0,Semiurban
,Yes,0,Graduate,,445200,156000,14300000,360,1,Urban
Male,No,0,Graduate,No,366600,127000,26000000,360,1,Rural
Male,Yes,0,Graduate,No,679400,0,26000000,360,0,Rural
Male,Yes,0,Graduate,No,350000,458300,13200000,360,1,Semiurban
Male,No,1,Graduate,No,1884000,266700,8100000,360,1,Rural
Male,Yes,1,Graduate,No,241900,0,9600000,360,1,Rural
Male,Yes,0,Graduate,Yes,72400,0,4600000,360,0,Rural
Male,No,3+,Graduate,No,518400,0,15000000,180,1,Rural
Male,Yes,0,Graduate,No,312500,400000,18500000,360,1,Urban
Male,No,0,Graduate,No,201400,270800,13000000,360,,Rural
Male,Yes,0,Graduate,No,247800,0,13500000,360,1,Urban
Male,No,0,Not Graduate,No,333300,314800,16200000,240,1,Rural
Male,No,1,Graduate,No,350000,83300,8000000,360,,Rural
Male,Yes,0,Graduate,No,313200,140000,18700000,360,1,Urban
Male,Yes,0,Graduate,No,309100,213000,13000000,360,0,Urban
Male,Yes,,Graduate,Yes,408300,0,2800000,360,0,Rural
Female,Yes,0,Not Graduate,No,695800,70000,10000000,360,1,Semiurban
Male,Yes,3+,Graduate,No,301700,0,36000000,360,1,Semiurban
Female,Yes,3+,Graduate,No,735000,135000,12000000,360,1,Urban
Male,Yes,1,Graduate,No,333300,0,18700000,360,1,Rural
Male,Yes,0,Not Graduate,No,408300,0,13400000,360,,Urban
Male,Yes,0,Not Graduate,No,760300,0,8800000,360,1,Urban
Male,Yes,0,Graduate,No,424600,351000,16500000,360,1,Semiurban
Male,Yes,0,Graduate,Yes,334300,0,13500000,360,1,Semiurban
Male,No,0,Graduate,No,235600,412300,4000000,300,1,Semiurban
Male,Yes,0,Graduate,No,291700,0,18500000,360,1,Rural
Male,No,0,Graduate,No,224300,0,8000000,360,1,Rural
Male,Yes,2,Graduate,No,496800,0,7000000,360,1,Urban
Female,Yes,0,Graduate,No,325000,0,10100000,360,1,Urban
Male,Yes,1,Graduate,No,218500,0,18500000,360,1,Semiurban
Female,Yes,0,Graduate,Yes,783000,371900,28000000,360,1,Semiurban
Male,Yes,0,Graduate,Yes,170000,0,12400000,360,,Semiurban
Male,Yes,3+,Not Graduate,No,1600000,339600,11600000,360,0,Semiurban
Male,Yes,0,Graduate,No,374700,0,20000000,360,,Rural
Male,Yes,1,Not Graduate,No,159600,0,10500000,360,,Urban
Female,Yes,2,Not Graduate,No,504100,0,10600000,360,1,Semiurban
Male,Yes,1,Graduate,No,394300,434700,7000000,360,1,Semiurban
Male,Yes,1,Graduate,No,333300,121300,10800000,360,1,Rural
Male,No,0,Graduate,No,383500,0,20800000,360,1,Rural
Male,Yes,2,Graduate,Yes,531600,256500,8000000,360,0,Semiurban
Male,No,0,Graduate,No,292500,0,9600000,360,,Semiurban
Female,No,2,Not Graduate,No,415800,0,13900000,360,1,Semiurban
Female,No,0,Not Graduate,No,383500,176000,13400000,360,1,Semiurban
Male,Yes,3+,Graduate,Yes,341700,343500,15000000,360,1,Rural
Male,Yes,3+,Graduate,No,650000,0,18000000,360,1,Urban
Male,Yes,0,Graduate,No,350700,73800,13400000,360,1,Semiurban
Male,No,2,Not Graduate,,362000,791600,9000000,360,1,Rural
Male,Yes,2,Graduate,No,500000,0,0,240,1,Urban
Male,No,0,Graduate,No,210700,400000,10800000,350,,Semiurban
Male,No,0,Not Graduate,No,215700,138000,10200000,360,1,Semiurban
Male,No,0,Graduate,No,472000,294500,7100000,360,1,Urban
Male,Yes,0,Graduate,No,416700,176000,28000000,360,1,Urban
Male,No,1,Not Graduate,No,309100,0,11900000,360,0,Rural
Female,Yes,0,Graduate,No,278300,0,16200000,360,1,Urban
Male,Yes,1,Graduate,Yes,159900,121300,14400000,360,1,Semiurban
Male,No,0,Graduate,No,590000,0,15000000,360,1,Urban
,No,0,Graduate,No,795000,0,10200000,300,0,Urban
Male,Yes,0,Graduate,No,416600,0,12000000,360,1,Urban
Male,Yes,0,Graduate,No,558300,0,12500000,360,1,Urban
Male,No,3+,Graduate,No,130000,347000,18500000,360,1,Semiurban
Male,No,0,Not Graduate,No,630000,277400,4800000,360,0,Semiurban
Male,Yes,2,Graduate,No,351000,216700,5000000,360,1,Urban
Male,No,0,Not Graduate,No,500000,500000,10000000,360,0,Semiurban
Male,No,0,Graduate,No,350000,0,9000000,360,1,Urban
Female,Yes,0,Graduate,No,416600,0,10400000,360,1,Rural
Male,Yes,0,Graduate,No,340000,294500,6500000,360,1,Urban
Female,Yes,0,Graduate,No,227400,154200,30000000,36,1,Urban
Male,Yes,3+,Graduate,No,470000,0,12600000,360,1,Urban
Male,No,3+,Graduate,No,318800,791600,12000000,360,1,Urban
,No,1,Graduate,Yes,57000,0,10400000,360,1,Urban
Male,Yes,2,Graduate,No,518000,339600,16200000,360,1,Urban
Female,Yes,0,Graduate,Yes,1016600,0,13500000,360,0,Semiurban
Female,No,0,Graduate,No,395800,70000,11800000,360,1,Urban
Female,Yes,0,Graduate,No,583300,0,16000000,360,1,Semiurban
Male,Yes,0,Graduate,Yes,424300,0,13800000,360,1,Rural
Male,Yes,0,Graduate,No,385400,241700,4600000,360,1,Urban
Female,No,2,Not Graduate,Yes,433300,0,15000000,360,1,Semiurban
Male,Yes,3+,Graduate,Yes,440200,0,13700000,360,,Urban
,No,0,Graduate,No,470900,0,13200000,360,1,Rural
Male,No,0,Graduate,No,215700,0,25700000,360,1,Rural
Male,Yes,0,Graduate,No,650000,0,20000000,360,1,Urban
Male,Yes,2,Graduate,No,436400,0,12500000,360,1,Rural
Male,No,0,Graduate,Yes,224300,0,20000000,60,,Urban
Male,Yes,0,Not Graduate,No,285800,279200,6000000,360,1,Urban
Male,Yes,0,Graduate,No,583300,343500,8000000,360,,Semiurban
Male,No,2,Graduate,No,566700,0,6700000,60,1,Semiurban
Male,Yes,2,Graduate,No,679400,0,18500000,360,1,Urban
Male,Yes,2,Graduate,No,210100,0,11000000,240,1,Urban
Male,Yes,2,Graduate,No,299500,0,29000000,360,0,Semiurban
Male,No,3+,Graduate,No,306600,0,15000000,360,1,Semiurban
Male,Yes,2,Not Graduate,No,870600,0,14600000,180,1,Semiurban
Male,Yes,3+,Not Graduate,No,916700,0,8000000,360,0,Rural
Female,Yes,3+,Graduate,No,327100,0,3000000,360,0,Urban
Male,No,2,Graduate,No,344500,299900,11000000,360,1,Urban
Male,No,0,Graduate,No,376500,0,10000000,360,1,Urban
Male,Yes,3+,Graduate,No,402800,0,11000000,240,1,Urban
Male,No,0,Graduate,No,236000,233300,10000000,360,1,Urban
Male,No,3+,Not Graduate,Yes,332100,325000,10800000,360,0,Urban
Male,No,0,Graduate,No,424600,82000,12500000,360,1,Semiurban
Male,No,0,Graduate,No,159900,316700,28000000,300,1,Urban
Male,Yes,0,Graduate,No,306600,241600,8000000,360,1,Rural
Male,Yes,1,Not Graduate,No,433300,205700,3000000,360,0,Urban
Male,Yes,1,Graduate,No,210100,260000,14000000,360,,Urban
Female,No,0,Graduate,No,333300,260000,9600000,360,0,Semiurban
Male,No,,Graduate,No,254500,0,13000000,360,,Semiurban
Male,No,0,Graduate,No,203800,0,12400000,360,1,Semiurban
,Yes,0,Graduate,No,350000,0,14000000,360,1,Urban
Male,No,0,Graduate,No,433300,0,13000000,350,1,Semiurban
Male,Yes,0,Graduate,,449000,391600,33600000,300,1,Semiurban
Male,No,0,Not Graduate,No,226800,237400,13900000,360,1,Semiurban
Male,No,2,Graduate,,384400,0,12500000,360,1,Semiurban
Male,No,2,Graduate,No,1294100,241600,10000000,360,1,Urban
Female,Yes,0,Graduate,No,518000,216800,11700000,360,,Urban
Male,Yes,1,Graduate,No,350000,0,7500000,360,1,Urban
Female,Yes,2,Graduate,No,350000,0,39000000,360,1,Urban
Male,No,3+,Graduate,No,333300,127000,15000000,360,,Rural
Male,No,1,Graduate,No,416600,0,10400000,,1,Semiurban
Female,Yes,0,Graduate,No,340000,0,9900000,360,0,Rural
Male,No,0,Graduate,No,380800,0,21300000,360,1,Semiurban
Male,Yes,3+,Not Graduate,No,265400,0,21200000,360,1,Rural
Male,No,,Graduate,No,364400,0,17000000,360,1,Semiurban
Male,Yes,3+,Not Graduate,Yes,408300,0,2800000,360,0,Semiurban
